Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),North_America
48797,Anisoptera,Aeshnidae,Aeshna palmata,357.859,476.996,41.783,42.312,42.206,42.778,10.837,14.457,11.515,15.706,0.589267803,0.270163286,0.027250645,-0.114403838,0.586397059,0.661725067,113.6968065,104.9753257,47.244,TRUE
38957,Anisoptera,Aeshnidae,Aeshna palmata,392.473,502.049,44.535,43.646,44.746,45.191,11.197,14.33,11.959,15.473,0.598391675,0.296487119,0.007181522,-0.076145058,0.589380531,0.658002736,110.1336592,102.7065518,47.244,TRUE
28070,Anisoptera,Aeshnidae,Aeshna palmata,389.081,511.175,44.344,43.18,44.535,43.984,10.964,14.605,11.79,15.79,0.609315589,0.220404235,0.026014222,-0.148085792,0.597845601,0.63538874,119.4000609,108.8869806,47.244,TRUE
25868,Anisoptera,Aeshnidae,Aeshna palmata,389.935,502.281,44.535,42.101,44.725,43.561,10.964,14.563,11.917,15.388,0.577851396,0.239067055,0.022389175,-0.159857865,0.587921847,0.640990371,115.3018685,104.0258159,47.244,TRUE
25871,Anisoptera,Aeshnidae,Aeshna palmata,360.56,490.212,42.524,41.254,42.99,43.244,10.626,14.224,11.282,15.621,0.615460364,0.266275086,0.029810397,-0.115980107,0.532833021,0.64498645,114.6433163,108.1357936,47.244,TRUE
22135,Anisoptera,Aeshnidae,Aeshna palmata,381.111,492.823,43.222,41.698,43.413,43.476,11.176,14.182,11.79,15.452,0.573866407,0.248296008,0.009676279,-0.130045729,0.601436266,0.643835616,136.0559238,105.1224989,47.244,TRUE
22133,Anisoptera,Aeshnidae,Aeshna palmata,379.236,491.467,43.984,42.333,44.027,43.371,10.816,14.457,11.642,15.833,0.570192308,0.270863836,0.016626542,-0.122698761,0.625454546,0.643048128,116.0197454,108.9511741,47.244,TRUE
28069,Anisoptera,Aeshnidae,Aeshna palmata,393.775,497.607,45.17,43.032,45.233,43.688,11.049,14.584,11.959,16.002,0.585400094,0.274224806,0.027932113,-0.133551571,0.619469027,0.669312169,117.5967752,106.216513,47.244,TRUE
22119,Anisoptera,Aeshnidae,Aeshna palmata,354.296,470.271,43.138,41.995,43.18,43.413,10.287,13.674,11.049,15.134,0.569607843,0.280838615,0.012282215,-0.111666412,0.609195402,0.664335664,115.0966394,107.2107093,47.244,TRUE
19936,Anisoptera,Aeshnidae,Aeshna persephone,483.541,652.225,52.049,49.89,52.62,50.779,11.811,15.748,12.467,17.018,0.567578439,0.197165486,0.050390159,-0.146960187,0.553480475,0.629353234,118.4100377,107.7046491,47.244,TRUE
